index,x,y,doi,text,cluster_40,cluster_19,cluster_19_name,cluster_10,cluster_10_name,cluster_5,cluster_5_name
60,-4.25061,0.13749054,10.1007/s12304-019-09358-8,A Conceptual Framework for Studying Evolutionary Origins of Life-Genres (Sigmund Ongstad),2,9,Language origins & Evolution,6,Language & Human Semiosis,3,Cognitive & Experiential semiotics
61,10.638074,-1.3696986,10.1007/s12304-021-09461-9,Facing Up to the Hard Problem of Biosemiotics (Donald Favareau),20,11,Theoretical biology & Emergence,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
62,7.317044,9.49704,10.1007/s12304-022-09519-2,Semiotically Mediated Human-Bee Communication in the Practice of Brazilian Meliponiculture (Heidi Campana Piva),40,14,"Interspecies relationships, communication, mimicry and deception",4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
63,7.169834,2.1262841,10.1007/s12304-011-9129-x,Essential Reading (Peter Harries-Jones),17,7,Cognitive science & Consciousness,3,Umwelt & Embodied cognition,3,Cognitive & Experiential semiotics
64,17.456104,5.60957,10.1007/s12304-011-9113-5,"Are Olfactory Receptors Really Olfactive? (Franco Giorgi,Roberto Maggio,Luis Emilio Bruni)",3,16,Plant and microbial semiotics,10,Non-animal semiosis,2,"Evolution, Agency & Emergence"
65,8.66674,0.28006893,10.1007/s12304-015-9231-6,Semiotic Scaffolding of Multicellularity (Jesper Hoffmeyer),32,3,Scaffolding & Agency,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
66,5.68647,4.8190784,10.1007/s12304-015-9230-7,The Phylogenetic Foundations of Discourse Coherence: A Pragmatic Account of the Evolution of Language (Ines Adornetti),24,9,Language origins & Evolution,6,Language & Human Semiosis,3,Cognitive & Experiential semiotics
67,8.492987,0.06717815,10.1007/s12304-018-9320-4,Knowledge Is Never Just There (Jesper Hoffmeyer),32,3,Scaffolding & Agency,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
68,11.354304,3.4726834,10.1007/s12304-009-9047-3,For a Scientific Biosemiotics (Marcello Barbieri),26,6,"Code biology, Molecular semiotics & Information Theory",5,"Code, Information & Representation",4,Biological codes & Information
69,11.457283,-0.73330104,10.1007/s12304-021-09469-1,Semiotic and Physical Requirements on Emergent Autogenic System (Cliff Joslyn),20,11,Theoretical biology & Emergence,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
70,4.0436487,0.24080251,10.1007/s12304-022-09505-8,"UAL is a Token, not a Type (Arthur S. Reber,František Baluška,William B. Miller)",29,7,Cognitive science & Consciousness,3,Umwelt & Embodied cognition,3,Cognitive & Experiential semiotics
71,6.2965717,9.310254,10.1007/s12304-010-9079-8,Why Was Thomas A. Sebeok Not a Cognitive Ethologist? From “Animal Mind” to “Semiotic Self” (Timo Maran),40,14,"Interspecies relationships, communication, mimicry and deception",4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
72,11.022391,-1.3959084,10.1007/s12304-016-9263-6,Reconsidering Darwin’s “Several Powers” (Terrence W. Deacon),20,11,Theoretical biology & Emergence,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
73,10.727794,0.23217545,10.1007/s12304-022-09508-5,Lyapunov Stability as a Metric for Meaning in Biological Systems (Richard L. Summers),20,11,Theoretical biology & Emergence,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
74,5.648934,-0.32851344,10.1007/s12304-023-09524-z,Sensitive Souls and Biosemiotic Agency as Emergence (Yogi Hale Hendlin),35,15,Environmental ethics & Semiocide,7,Ecosemiotics & Environmental ethics,5,Ecological & Ethical dimensions
75,11.4643,1.8768367,10.1007/s12304-011-9132-2,Von Neumann’s Legacy for a Scientific Biosemiotics (Joachim De Beule),8,6,"Code biology, Molecular semiotics & Information Theory",5,"Code, Information & Representation",4,Biological codes & Information
76,8.859623,2.2593892,10.1007/s12304-011-9134-0,Plato and Peirce on Likeness and Semblance (Han-liang Chang),25,1,Philosophy of biosemiotics & Foundational theories,1,Core theoretical foundations,1,Philosophical & Theoretical foundations
77,9.919123,-1.3080928,10.1007/s12304-008-9008-2,"Biosemiotic Questions (Kalevi Kull,Claus Emmeche,Donald Favareau)",20,11,Theoretical biology & Emergence,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
78,17.36452,5.877734,10.1007/s12304-012-9143-7,"Semiotic Selection of Mutated or Misfolded Receptor Proteins (Franco Giorgi,Luis Emilio Bruni,Roberto Maggio)",3,16,Plant and microbial semiotics,10,Non-animal semiosis,2,"Evolution, Agency & Emergence"
79,5.0018554,1.8616663,10.1007/s12304-018-9322-2,"Biosemiotics, the Extended Synthesis, and Ecological Information: Making Sense of the Organism-Environment Relation at the Cognitive Level (Manuel Heras-Escribano,Paulo de Jesus)",27,7,Cognitive science & Consciousness,3,Umwelt & Embodied cognition,3,Cognitive & Experiential semiotics
80,9.893551,2.7608979,10.1007/s12304-008-9028-y,"Uexküll, Peirce, and Other Affinities Between Biosemiotics and Biolinguistics (Prisca Augustyn)",25,1,Philosophy of biosemiotics & Foundational theories,1,Core theoretical foundations,1,Philosophical & Theoretical foundations
81,6.2681546,-0.44260508,10.1007/s12304-019-09359-7,"Meeting Report: the 18th Annual Biosemiotics Gathering at the University of California, Berkeley (Yogi Hale Hendlin)",1,18,Announcements and administrative,1,Core theoretical foundations,1,Philosophical & Theoretical foundations
82,8.807182,10.405199,10.1007/s12304-020-09387-8,"Cognitive Systems of Human and Non-human Animals: At the Crossroads of Phenomenology, Ethology and Biosemiotics (Filip Jaroš,Matěj Pudil)",40,14,"Interspecies relationships, communication, mimicry and deception",4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
83,6.710125,4.0721917,10.1007/s12304-009-9039-3,Language and Emotional Knowledge: A Case Study on Ability and Disability in Williams Syndrome (Christine A. James),24,9,Language origins & Evolution,6,Language & Human Semiosis,3,Cognitive & Experiential semiotics
84,7.5479484,9.231149,10.1007/s12304-015-9233-4,"The Semiotic Challenges of Guide Dog Teams: the Experiences of German, Estonian and Swedish Guide Dog Users (Riin Magnus)",40,14,"Interspecies relationships, communication, mimicry and deception",4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
85,9.021385,-0.36807612,10.1007/s12304-018-9318-y,"Prion-Like Phenomena Mediating Between Modes of Individuation (Vefa Karatay,Yagmur Denizhan)",32,3,Scaffolding & Agency,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
86,9.095051,1.2760029,10.1007/s12304-017-9300-0,"Abduction: Can Non-human Animals Make Discoveries? (Mariana Vitti-Rodrigues,Claus Emmeche)",22,14,"Interspecies relationships, communication, mimicry and deception",4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
87,9.341977,2.6527047,10.1007/s12304-009-9069-x,The Bio-semiotic Roots of Metapsychology (Anna Aragno),16,5,Zoosemiotics,4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
88,4.990019,3.2043257,10.1007/s12304-018-9330-2,Introduction: a Structural and Historical Approach to Understanding Advancements in Evolutionary Theory (Andrew M. Winters),10,16,Plant and microbial semiotics,10,Non-animal semiosis,2,"Evolution, Agency & Emergence"
89,7.968283,8.018619,10.1007/s12304-024-09574-x,"Umwelt Theory and Dis/Harmony: Forays into Dis/Ability, Dis/Ease, Trauma, and Ethological Divergence (Ombre Tarragnat)",38,4,Umwelt theory & Phenomenology,3,Umwelt & Embodied cognition,3,Cognitive & Experiential semiotics
90,10.454417,4.5944033,10.1007/s12304-011-9111-7,Natural Genome Editing from a Biocommunicative Perspective (Guenther Witzany),30,2,Evolutionary theory & Extended Evolutionary Synthesis,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
91,6.5898595,11.131502,10.1007/s12304-019-09371-x,"Sonic Liminality: Soundscapes, Semiotics, and Ecologies of Meaning (Jonathan Beever)",11,8,Bioacoustics,7,Ecosemiotics & Environmental ethics,5,Ecological & Ethical dimensions
92,6.024388,12.044012,10.1007/s12304-023-09522-1,"The Landscape of Fear as a Safety Eco-Field: Experimental Evidence (Almo Farina,Philip James)",11,8,Bioacoustics,7,Ecosemiotics & Environmental ethics,5,Ecological & Ethical dimensions
93,5.8270354,-0.2674215,10.1007/s12304-024-09558-x,Semiocide as Negation: Review of Michael Marder’s Dump Philosophy (Yogi Hale Hendlin),35,15,Environmental ethics & Semiocide,7,Ecosemiotics & Environmental ethics,5,Ecological & Ethical dimensions
94,5.930399,7.268972,10.1007/s12304-018-9328-9,"Evolution by Meaning Attribution: Notes on Biosemiotic Interpretations of Extended Evolutionary Synthesis (Jana Švorcová,Karel Kleisner)",40,14,"Interspecies relationships, communication, mimicry and deception",4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
95,8.797452,10.440139,10.1007/s12304-019-09364-w,"Humans on Top, Humans among the Other Animals: Narratives of Anthropological Difference (Filip Jaroš,Timo Maran)",40,14,"Interspecies relationships, communication, mimicry and deception",4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
96,10.150797,4.65246,10.1007/s12304-021-09409-z,"Response to Denis Noble’s Article “The Illusions of the Modern Synthesis,” Biosemiotics (James A. Shapiro)",30,2,Evolutionary theory & Extended Evolutionary Synthesis,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
97,7.267,4.0375876,10.1007/s12304-024-09589-4,"Correction: Organizing Microbial Diversity and Interspecies Relations through Diagrams: Trees, Maps, and the Visual Semiotics of the Living (Valeria Burgio,Roberta Raffaetà)",23,17,"Modeling, metodology and formalization of semiosis",9,Modeling & Quantitative approaches,4,Biological codes & Information
98,4.322046,4.8256364,10.1007/s12304-020-09380-1,In Search of a Unified Theory of Sensory Perception: Possible Links between the Vibrational Mechanism of Olfaction and the Evolution of Language (Amelia Lewis),16,5,Zoosemiotics,4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
99,9.935392,3.2268376,10.1007/s12304-012-9145-5,"Pragmatism, Neural Plasticity and Mind-Body Unity (Stephen Jarosek)",26,6,"Code biology, Molecular semiotics & Information Theory",5,"Code, Information & Representation",4,Biological codes & Information
100,7.3140464,-2.3122838,10.1007/s12304-021-09420-4,Agency and Choice in Evolution (Jonathan Delafield-Butt),31,2,Evolutionary theory & Extended Evolutionary Synthesis,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
101,9.72769,-1.3745463,10.1007/s12304-015-9234-3,"Symbols are Grounded not in Things, but in Scaffolded Relations and their Semiotic Constraints (Or How the Referential Generality of Symbol Scaffolding Grows Minds) (Donald Favareau)",20,11,Theoretical biology & Emergence,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
102,10.728255,0.19894817,10.1007/s12304-008-9027-z,Understanding the Emergence of Cellular Organization (Walter Riofrio),20,11,Theoretical biology & Emergence,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
103,11.272919,8.370839,10.1007/s12304-020-09375-y,Semiotic Fitting and the Nativeness of Community (Kalevi Kull),6,10,Biosemiotic integration & Semiotic fitting,1,Core theoretical foundations,1,Philosophical & Theoretical foundations
104,11.990134,-3.03369,10.1007/s12304-008-9000-x,On Koichiro Matsuno’s Paper “Molecular Semiotics Toward the Emergence of Life” (Stanley N. Salthe),4,11,Theoretical biology & Emergence,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
105,6.311196,3.6440108,10.1007/s12304-019-09365-9,"On Iconic-Discursive Representations: Do they Bring us Closer to a Humean Representational Mind? (Guillermo Lorenzo,Emilio Rubiera)",24,9,Language origins & Evolution,6,Language & Human Semiosis,3,Cognitive & Experiential semiotics
106,7.4871264,9.650775,10.1007/s12304-023-09530-1,"Ecosemiotic Analysis of Species Reintroduction: the Case of European Mink (Mustela lutreola) in Estonia (Riin Magnus,Nelly Mäekivi)",40,14,"Interspecies relationships, communication, mimicry and deception",4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
107,7.894547,-1.9064919,10.1007/s12304-021-09412-4,Joining Forces Against Neo-Darwinism: Linking Organicism and Biosemiotics (Arran Gare),31,2,Evolutionary theory & Extended Evolutionary Synthesis,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
108,11.627201,3.8619418,10.1007/s12304-025-09597-y,Do Codes Need Interpretation? (Marcello Barbieri),26,6,"Code biology, Molecular semiotics & Information Theory",5,"Code, Information & Representation",4,Biological codes & Information
109,2.576084,7.8167686,10.1007/s12304-024-09591-w,Following Developments of Biosemiotics (Alexei A. Sharov),7,2,Evolutionary theory & Extended Evolutionary Synthesis,2,"Evolution, Teleology & Agency",2,"Evolution, Agency & Emergence"
110,8.263315,8.119329,10.1007/s12304-020-09376-x,"Reconstructing the Worlds of Wildlife: Uexküll, Hediger, and Beyond (Matthew Chrulew)",38,4,Umwelt theory & Phenomenology,3,Umwelt & Embodied cognition,3,Cognitive & Experiential semiotics
111,7.0105715,10.249515,10.1007/s12304-022-09480-0,"Collateral Beauty, Adjacent Semiosis (Timo Maran)",40,14,"Interspecies relationships, communication, mimicry and deception",4,Zoosemiotics & Animal studies,5,Ecological & Ethical dimensions
